codigocena,cena,classe,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1058,001/58,27,5273.6531643983,5271.0641713441,5271.6891151673,5274.010051587,5268.3855151978,5269.4568632264,5268.9211513062,5269.6354435181,5270.7068438294,5268.4747621827,5271.1533790894,5271.3318885132,5271.6889259827,5270.9748701844,5274.2779791627,5271.063985608,5281.3311044922,5277.8493588074,5275.0817858521,5276.5099597352,5279.7238833314,5278.7414556824,5269.9922318116,5268.9213390565,5276.5100302369,5272.8495586854,5272.5816330872,5276.2420166138,5276.9562471253,5277.134838025,5280.4381230591,5273.2958746583,5272.7603872437,5272.7603872437,5272.7603872437
1058,001/58,33,7215.8458578514,6504.2736602728,8945.4061533074,4789.171426253,2043.1823258858,3555.8613735236,2795.9516727312,3828.7535356644,4611.9619966149,3857.3388160361,3808.6786826121,3101.5090307528,4452.7504622667,5679.3651652766,3415.4641930186,3230.8716986615,6429.4150654357,8742.9209024991,9020.6921148449,8563.8955084805,10740.2823549715,7838.858234145,6128.9617258705,3045.4484796931,5725.4018754171,4869.8345362967,9476.8499829384,5526.5617969194,4998.7758528953,4683.6300981427,9159.8741971135,4987.5422281325,4767.0178642879,4767.0178642879,4767.0178642879
1059,001/59,3,1693054.68063143,1695128.78558087,1698096.85814309,1695670.05342203,1696741.34544199,1697791.68833571,1697202.55785652,1697512.91663608,1697860.19125189,1698402.1353436,1696314.10888381,1696941.52042432,1697106.11811247,1697412.26867367,1696829.01304149,1697144.9359006,1696723.83345948,1696855.07019349,1693171.80169733,1692706.16359752,1693901.44803638,1695017.61965255,1696385.763279,1697867.91259885,1696449.409517,1696005.30406449,1692595.18360176,1693948.76052289,1696693.81099348,1697061.9910628,1696579.03999478,1692397.6863001,1692267.08540838,1692267.08540838,1692267.08540838
1059,001/59,13,3538.7722904205,2516.5537054737,2548.4774097095,2901.7141729187,3032.6092705417,2103.6148137699,2518.5687680485,2638.4192668715,2493.5518227505,1957.4474907104,1977.7635254793,2406.0103943508,2748.4421409056,2960.2800217431,3978.208433338,4529.9318936191,3706.0803316491,2821.5522608522,4879.1320998051,5314.9105227391,3998.3057063188,3633.4021251903,2988.8747608162,2740.8355445542,2826.2492940045,3354.0402957846,3104.7369725482,2897.589943965,2624.0761147348,2810.6224634991,1902.7181514494,4000.2134427565,5678.5589188908,5678.5589188908,5678.5589188908
1059,001/59,15,0,0,0,0,0,0,0,0,0,0,0,2.055428418,8.0429010742,15.9073760071,10.6344657288,5.0045356201,4.5580869629,14.210814032,34.6777126099,76.4143238281,132.9871217346,142.906136908,179.3712483459,210.9214024658,107.6966027588,68.1013932129,46.0257979919,33.6009484741,29.4000663574,53.6169153687,29.1333398376,32.9772781372,43.4337505066,43.4337505066,43.4337505066
1059,001/59,21,16.4475457397,17.1628525146,22.8835669495,26.6378546265,136.6767997437,0,1.1619996887,349.6915296875,342.1830384583,218.4677526672,254.0441741089,12.9608593933,19.8439444519,27.5307917908,37.8995200073,115.9346367676,157.6760551392,540.2417170532,330.0973412598,215.506727179,209.513437915,212.6416908081,237.0417152649,308.8921645773,221.4772750488,400.8535330078,602.8419322571,1317.3052031616,889.4287396301,1047.5469346436,1802.2861701111,4989.9831194673,1120.199400415,1120.199400415,1120.199400415
1059,001/59,27,5.0043234619,6.4341853333,3.6645828369,7.238242981,4.3796516785,3.1280912415,3.8433298157,3.127957489,3.4854829651,2.4132124817,2.7707551697,3.0389418457,2.2344450562,3.3070819824,2.5919983276,2.9495588013,2.7707695557,3.4854850647,6.3451104553,4.2004399841,6.5239850647,5.8986884277,3.7537854431,2.8601005127,3.3070338013,3.7539250366,4.2009125671,5.2733332214,5.8096439087,3.3962696533,3.2174467407,3.8430705383,3.2176871704,3.2176871704,3.2176871704
1059,001/59,33,10487.8919755713,9433.8604424142,6430.9130639992,8497.1530740576,7187.7856026405,7204.3655258706,7376.6648125282,6598.6413764696,6403.3851705275,6522.3329671341,8554.1094280326,7737.2107182871,7218.1152226354,6683.5028214005,6244.449307702,5304.0402411884,6507.8780638075,6868.2362961076,8680.7428051315,8785.6011553379,8854.0184791846,8090.3284727138,7307.991977737,5971.3749556495,7494.6570439785,7270.7435550562,10749.807549474,8900.266814891,6860.2712084804,6125.6231206325,6786.4016636867,5678.0935556034,7990.3016012486,7990.3016012486,7990.3016012486
1060,001/60,3,2604706.09038416,2616735.18810676,2616032.93753306,2618761.02694348,2614392.19883772,2613068.32099351,2611962.62190231,2609527.63627154,2609363.4643567,2614546.35895063,2618456.95664895,2611968.75138916,2609289.46609661,2606864.42252413,2600865.2454891,2603266.33174322,2602440.28575014,2603364.05870384,2602361.4743778,2600576.51085194,2603769.77067756,2608373.71939467,2607695.30483367,2604519.49980092,2604152.8168335,2601090.26771281,2602546.0059266,2600933.49926807,2601693.44477288,2597347.41921251,2600524.03164989,2609829.63120848,2596505.96429969,2596505.96429969,2596505.96429969
1060,001/60,13,53763.4532630172,39422.2720412983,41778.9126587153,42942.5341077268,46929.2740729122,44663.9236019695,46362.4512749378,50870.1351882185,49911.0181728478,40912.3975215203,37046.3498397876,40273.3105941396,47470.5798946847,49170.6084067733,55179.8166531575,49943.7542523136,46940.7970332295,42859.0614432433,41941.4128010728,48452.9895859716,47197.9954369456,42332.2731114006,40695.6826853586,46426.0782395625,46130.3878576726,50745.4435000754,50114.180809299,51690.2271268537,49041.3006834495,54037.5226733989,50471.3783672799,37668.0877916929,53237.5549505938,53237.5549505938,53237.5549505938
